MSOA Code,MSOA Name,Total population,Local Authority English Name,Proportion of Population in 10% Most Deprived LSOAs,Proportion of Population in 20% Most Deprived LSOAs,Proportion of Population in 30% Most Deprived LSOAs,Proportion of Population in 40% Most Deprived LSOAs,Proportion of Population in 50% Most Deprived LSOAs,Proportion of Population in 60% Most Deprived LSOAs,Proportion of Population in 70% Most Deprived LSOAs,Proportion of Population in 80% Most Deprived LSOAs,Proportion of Population in 90% Most Deprived LSOAs,WIMD 2019 rank,MSOA HoCL English Name,MSOA HoCl Welsh Name
W02000192,Swansea 025,10124,Swansea,0.18461082576056895,0.4303634926906361,0.7059462662979059,0.7059462662979059,0.7059462662979059,1,1,1,1,349,Central Swansea,Canol Abertawe
W02000256,Rhondda Cynon Taf 005,10095,Rhondda Cynon Taf,0,0.4723130262506191,0.8344725111441308,0.8344725111441308,1,1,1,1,1,348,Aberaman,Aberaman
W02000266,Rhondda Cynon Taf 015,7609,Rhondda Cynon Taf,0.20712314364568274,0.47010119595216193,0.6568537258509659,0.8554343540544093,0.8554343540544093,0.8554343540544093,0.8554343540544093,0.8554343540544093,1,347,Glyn-coch & Ynys-y-bwl,Glyn-coch ac Ynys-y-bwl
W02000105,Powys 009,5067,Powys,0,0.35287152161042035,1,1,1,1,1,1,1,346,Newtown South,De-orllewin y Drenewydd
W02000231,Bridgend 014,8415,Bridgend,0.1717171717171717,0.5847890671420083,0.7749257278669044,0.7749257278669044,0.7749257278669044,0.7749257278669044,1,1,1,345,Central Bridgend,Canol Pen-y-bont ar Ogwr
W02000140,Pembrokeshire 015,7272,Pembrokeshire,0.2323982398239824,0.2323982398239824,0.5529427942794279,0.7520627062706271,0.7520627062706271,1,1,1,1,344,Pembroke West & Castlemartin,Gorllewin Penfro a Chastellmartin
W02000352,Newport 006,6790,Newport,0.4207658321060383,0.4207658321060383,0.6284241531664212,0.6284241531664212,0.8378497790868925,1,1,1,1,343,Shaftesbury & Crindai,Shaftesbury a Chrindai
W02000263,Rhondda Cynon Taf 012,6417,Rhondda Cynon Taf,0.2557269752220664,0.2557269752220664,0.5423094904160822,0.5423094904160822,0.5423094904160822,1,1,1,1,342,Abercynon,Abercynon
W02000175,Swansea 008,7583,Swansea,0.18435975207701438,0.5915864433601477,0.5915864433601477,0.7994197547144929,0.7994197547144929,0.7994197547144929,1,1,1,341,Morriston South,De Treforys
W02000399,Cardiff 033,10111,Cardiff,0.1770349124715656,0.3331025615666106,0.675205222035407,1,1,1,1,1,1,340,Plasnewydd,Plasnewydd
